序号,电影名称,年份,地区,类型,评分,评价人数,名言
192,惊魂记,1960,美国,悬疑 惊悚 恐怖,9.0,162011人评价,故事的反转与反转，分裂电影的始祖。
193,恐怖游轮,2009,英国 澳大利亚,剧情 悬疑 惊悚,8.5,559959人评价,不要企图在重复中寻找已经失去的爱。
194,魔女宅急便,1989,日本,动画 奇幻 冒险,8.6,332268人评价,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
195,奇迹男孩,2017,美国 中国香港,剧情 儿童 家庭,8.6,411190人评价,世界不完美，爱会有奇迹。
196,人工智能,2001,美国,冒险 剧情 科幻,8.6,312173人评价,对爱的执着，可以超越一切。
197,雨中曲,1952,美国,喜剧 歌舞 爱情,9.0,146433人评价,骨灰级歌舞片。
198,疯狂的石头,2006,中国大陆 中国香港,喜剧 犯罪,8.5,567169人评价,中国版《两杆大烟枪》。
199,罗生门,1950,日本,剧情 犯罪 悬疑,8.8,216515人评价,人生的N种可能性。
200,爱在午夜降临前,2013,美国 希腊,剧情 爱情,8.8,225082人评价,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
201,小偷家族,2018,日本,剧情 犯罪 家庭,8.7,578552人评价,我们组成了家。
202,海洋,2009,法国 瑞士 西班牙 美国 阿联酋,纪录片,9.1,129278人评价,大海啊，不全是水。
203,终结者2：审判日,1991,美国 法国,动作 科幻,8.7,249927人评价,少见的超越首部的续集，动作片中的经典。
204,初恋这件小事,2010,泰国,剧情 喜剧 爱情,8.4,755900人评价,黑小鸭速效美白记。
205,魂断蓝桥,1940,美国,剧情 爱情 战争,8.8,197339人评价,中国式内在的美国电影。
206,燃情岁月,1994,美国,剧情 爱情 战争 西部,8.8,212823人评价,传奇，不是每个人都可以拥有。
207,可可西里,2004,中国大陆 中国香港,剧情 犯罪,8.8,207080人评价,坚硬的信仰。
208,绿里奇迹,1999,美国,犯罪 剧情 奇幻 悬疑,8.8,189758人评价,天使暂时离开。
209,穿越时空的少女,2006,日本,剧情 爱情 科幻 动画,8.6,292610人评价,爱上未来的你。 
210,2001太空漫游,1968,英国 美国,科幻 惊悚 冒险,8.8,197485人评价,现代科幻电影的开山之作，最伟大导演的最伟大影片。
211,牯岭街少年杀人事件,1991,中国台湾,剧情 犯罪,8.8,181667人评价,弱者送给弱者的一刀。
212,城市之光,1931,美国,喜剧 剧情 爱情,9.3,87591人评价,永远的小人物，伟大的卓别林。
213,完美陌生人,2016,意大利,剧情 喜剧,8.5,398122人评价,来啊，互相伤害啊！
214,无耻混蛋,2009,德国 美国,剧情 犯罪,8.6,349542人评价,昆汀同学越来越变态了，比北野武还杜琪峰。
215,阿飞正传,1990,中国香港,犯罪 剧情 爱情,8.5,355695人评价,王家卫是一种风格，张国荣是一个代表。
216,新龙门客栈,1992,中国香港 中国大陆,动作 爱情 武侠 古装,8.6,313949人评价,嬉笑怒骂，调风动月。
217,源代码,2011,美国 加拿大,科幻 悬疑 惊悚,8.4,600001人评价,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
218,香水,2006,德国 法国 西班牙 美国,剧情 犯罪 奇幻,8.5,415758人评价,一个单凭体香达到高潮的男人。
219,谍影重重2,2004,美国 德国,动作 悬疑 惊悚,8.7,257934人评价,谁说王家卫镜头很晃？
220,青蛇,1993,中国香港,剧情 爱情 奇幻 古装,8.5,362367人评价,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
221,地球上的星星,2007,印度,剧情 儿童 家庭,8.9,148224人评价,天使保护事件始末。
222,谍影重重,2002,美国 德国 捷克,动作 悬疑 惊悚,8.6,308182人评价,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
223,色，戒,2007,中国台湾 中国大陆 美国 中国香港,剧情 爱情 情色,8.4,476562人评价,假戏真情，爱欲深海
224,战争之王,2005,美国 法国,剧情 犯罪,8.6,259298人评价,做一颗让别人需要你的棋子。
